pos	count	bq.mean	bq.sd
336	3716662	23.9168	6.81949
337	3697950	23.8907	6.81843
338	3679023	23.8634	6.81732
339	3660501	23.8354	6.82125
340	3641631	23.8142	6.81461
341	3622764	23.7894	6.81516
342	3603800	23.7655	6.81208
343	3584653	23.7385	6.81256
344	3565405	23.7088	6.812
345	3546380	23.6802	6.81593
346	3526913	23.6555	6.81661
347	3507395	23.6303	6.81324
348	3487793	23.6077	6.80951
349	3468079	23.5847	6.80837
350	3448513	23.5572	6.80559
351	3428985	23.5354	6.80246
352	3409329	23.5083	6.80048
353	3389436	23.48	6.80661
354	3369689	23.4566	6.80759
355	3349848	23.4344	6.80288
356	3329793	23.4137	6.79832
357	3309646	23.3861	6.79635
358	3289596	23.3631	6.79548
359	3269273	23.345	6.79284
360	3248831	23.3232	6.79245
361	3228897	23.3013	6.7881
362	3208730	23.2772	6.78873
363	3188473	23.2463	6.79131
364	3167836	23.2296	6.79093
365	3147041	23.2041	6.78693
366	3125938	23.1835	6.78463
367	3104820	23.1634	6.78298
368	3083358	23.1485	6.78307
369	3061881	23.1294	6.7798
370	3040024	23.1148	6.77855
371	3017950	23.0951	6.77867
372	2995370	23.0786	6.77608
373	2972411	23.0622	6.77545
374	2949170	23.0525	6.7762
375	2925353	23.0395	6.77695
376	2900718	23.031	6.77482
377	2875050	23.0169	6.77732
378	2848411	23.0092	6.77454
379	2820580	23.0017	6.77687
380	2791291	22.9866	6.77556
381	2759880	22.9756	6.77595
382	2725920	22.9721	6.77372
383	2688828	22.9609	6.77774
384	2648146	22.9552	6.77722
385	2603074	22.9476	6.77439
386	2552130	22.943	6.77782
387	2494142	22.9376	6.77725
388	2428202	22.9383	6.77496
389	2352582	22.9326	6.77891
390	2267265	22.9232	6.77698
391	2169891	22.9128	6.78192
392	2061252	22.9043	6.77498
393	1942012	22.8902	6.77862
394	1812916	22.8801	6.77878
395	1676700	22.8578	6.7774
396	1534719	22.8387	6.77729
397	1390293	22.8218	6.78161
398	1246174	22.7925	6.78632
399	1104230	22.7708	6.78512
400	967251	22.7474	6.7741
401	835553	22.7049	6.78303
402	713718	22.675	6.7851
403	600922	22.6432	6.77247
404	499423	22.6205	6.76819
405	410303	22.5745	6.76372
406	332573	22.4944	6.77955
407	267158	22.4471	6.77557
408	212069	22.3756	6.76863
409	166931	22.3368	6.76567
410	130189	22.259	6.77287
411	100380	22.1826	6.76867
412	76595	22.1303	6.72472
413	57909	22.0211	6.73249
414	43768	21.8687	6.72692
415	32955	21.7577	6.7554
416	24883	21.6602	6.72505
417	18803	21.5551	6.68736
418	14277	21.2964	6.67418
419	10979	21.155	6.6186
420	8657	20.9827	6.57158
421	7057	20.7167	6.5089
422	5849	20.6856	6.43678
423	4993	20.4056	6.43532
424	4353	20.3457	6.39596
425	3873	20.2461	6.26256
426	3507	20.2971	6.22767
427	3258	20.0823	6.16078
428	3066	19.9821	6.05171
429	2904	20.0207	6.08825
430	2762	20.0192	6.06162
431	2648	19.8958	6.16555
432	2531	19.885	6.12632
433	2438	20.0697	6.13773
434	2353	20.0136	6.0562
435	2274	20.0809	6.09173
436	2204	20.064	6.09368
437	2129	20.1527	6.13398
438	2049	20.2304	6.15709
439	1984	20.2722	6.00399
440	1927	19.9538	6.06819
441	1862	19.8878	6.18041
442	1794	19.9627	6.0477
443	1725	19.8806	5.9992
444	1648	19.7785	6.05561
445	1573	19.9085	6.04778
446	1480	19.823	5.95746
447	1402	19.7004	5.91132
448	1333	19.4299	5.87359
449	1255	19.6064	5.85726
450	1170	19.4641	5.84377
451	1094	19.2779	5.91287
452	1016	19.1457	5.59719
453	941	19.1668	5.63451
454	863	19.0232	5.72165
455	787	18.8043	5.77547
456	707	18.9604	5.67646
457	636	18.9654	5.61792
458	570	19.0491	5.81051
459	520	18.9923	5.69453
460	481	18.4387	5.61183
461	423	18.3759	5.25177
462	390	18.2897	5.30273
463	353	17.7054	4.98217
464	321	17.9502	5.1153
465	295	18.261	5.11264
466	266	18.3045	5.20607
467	241	18.668	4.96884
468	226	18.0929	5.03192
469	213	18.3897	4.98803
470	199	18.5477	4.9048
471	183	18.7432	4.9608
472	172	18.4535	5.3893
473	163	18.2209	5.17714
474	154	18.6688	5.13867
475	142	18.8099	5.31548
476	136	18.625	5.20817
477	129	18.4031	5.54036
478	127	18.4094	4.82611
479	117	17.9487	4.98419
480	112	17.9286	4.98595
481	107	18.4393	4.97385
482	104	18.2115	4.74735
483	100	18.84	4.95784
484	94	18.5638	4.53791
485	92	18.2717	4.92382
486	91	18.5275	4.80588
487	87	18.0115	5.29039
488	84	18.2024	4.61997
489	84	17.5476	4.88273
490	79	17.8987	4.57584
491	76	17.1053	4.76537
492	72	17.3333	4.7973
493	66	17.6364	3.84562
494	63	17.8571	4.63109
495	61	17.7705	4.74128
496	57	18.7544	4.73694
497	55	18.3273	4.82299
498	53	17.9245	5.25448
499	49	18.8367	4.36056
500	48	18.125	4.70683
501	46	17.5435	3.95366
502	44	17.1591	4.37191
503	41	17.2927	4.13064
504	36	17.1667	4.35234
505	34	16.3235	4.45666
506	31	17.871	3.54722
507	31	19.0323	5.10218
508	31	16.7097	4.45117
509	28	18.1786	4.63524
510	28	18.5714	4.77205
511	26	17.3077	5.19052
512	26	18.1538	4.76397
513	26	17.3077	4.47901
514	23	17.8261	4.6383
515	23	17.2174	4.26355
516	21	17.381	5.3803
517	20	17.9	4.62146
518	19	16.7895	3.67543
519	18	18.1111	5.26798
520	18	18.1111	4.05679
521	16	19.375	4.91087
522	16	18.75	6.43428
523	15	18.8667	6.66405
524	14	19.7143	6.18221
525	14	19.1429	5.80261
526	14	19.2143	5.54948
527	12	18.9167	6.62582
528	11	21.5455	5.97267
529	10	19.7	6.2902
530	10	19.7	6.01941
531	10	18.4	4.71876
532	10	17.4	4.99333
533	10	17.3	5.22919
534	8	19.625	4.20671
535	8	19.5	5.50325
536	8	18.25	5.70088
537	7	17.7143	3.98808
