offset	mismatches	insertions	deletions	reads
289	4878	18159	19092	4507261
290	4859	18275	19005	4491621
291	4942	18187	18966	4475971
292	5053	18237	19201	4460302
293	5022	18477	19249	4444560
294	5115	18088	19383	4428765
295	5114	18278	19161	4412631
296	5089	18726	19062	4396569
297	5111	18585	19179	4380505
298	5074	18575	19279	4364066
299	5141	18746	19138	4347811
300	5118	18737	18943	4331547
301	5114	18809	19018	4315146
302	5055	18571	19109	4298567
303	5107	18743	19208	4282104
304	5086	18863	19370	4265465
305	5100	19106	19076	4248551
306	5159	18848	19300	4231734
307	5055	19000	19261	4214922
308	5138	19321	18968	4198055
309	5279	19275	19142	4181045
310	5234	19403	18946	4163730
311	5271	19159	19069	4146415
312	5280	19188	19356	4129044
313	5269	19556	19110	4111565
314	5283	19164	19323	4094224
315	5325	19361	19036	4076832
316	5315	19531	19196	4059142
317	5382	19589	18932	4041731
318	5338	19628	19390	4024269
319	5406	19584	19351	4006699
320	5425	19390	19377	3989101
321	5279	19736	19337	3971253
322	5420	19709	19427	3953492
323	5493	19619	19492	3935377
324	5592	19970	19454	3917410
325	5664	19506	19310	3899392
326	5499	19979	19669	3881420
327	5504	20100	19479	3863114
328	5477	20013	19682	3845221
329	5543	19779	19248	3826991
330	5637	19772	19618	3808671
331	5500	20020	19700	3790398
332	5589	20239	19520	3772079
333	5654	19803	19597	3753735
334	5680	20300	19642	3735130
335	5681	19983	19542	3716662
336	5602	20087	19631	3697950
337	5558	20293	19600	3679023
338	5766	20234	19228	3660501
339	5692	20071	19613	3641631
340	5843	20164	19657	3622764
341	5678	20116	19665	3603800
342	5758	20428	19391	3584653
343	5893	20276	19634	3565405
344	5829	20606	19604	3546380
345	5948	20416	19679	3526913
346	5744	20545	19333	3507395
347	5799	20588	19283	3487793
348	5857	20613	19498	3468079
349	5915	20351	19566	3448513
350	5802	20574	19503	3428985
351	5870	20444	19314	3409329
352	5974	20509	19593	3389436
353	5950	20494	19499	3369689
354	5855	20395	19467	3349848
355	5723	20623	19009	3329793
356	5814	20593	19194	3309646
357	5918	20557	18961	3289596
358	5912	20194	19262	3269273
359	5882	20292	19045	3248831
360	5906	20609	18836	3228897
361	5827	20551	18931	3208730
362	5788	20396	19007	3188473
363	5886	20540	19007	3167836
364	5727	20255	18766	3147041
365	5767	20430	18626	3125938
366	5763	20218	18699	3104820
367	5623	20198	18274	3083358
368	5731	19956	18189	3061881
369	5668	20146	18107	3040024
370	5612	19715	17969	3017950
371	5594	19887	17837	2995370
372	5476	19649	17336	2972411
373	5244	19524	17113	2949170
374	5342	19208	16934	2925353
375	5261	19025	16634	2900718
376	5135	18623	16271	2875050
377	5046	18515	15842	2848411
378	4876	18107	15547	2820580
379	4682	17949	14964	2791291
380	4614	17216	14302	2759880
381	4357	16882	13435	2725920
382	4246	16265	12804	2688828
383	3863	15717	11937	2648146
384	3810	14921	11366	2603074
385	3534	14220	10344	2552130
386	3320	13231	9480	2494142
387	3007	12511	8637	2428202
388	2797	11438	7554	2352582
389	2558	10295	6913	2267265
390	2253	9373	5840	2169891
391	2160	8332	5203	2061252
392	1894	7622	4423	1942012
393	1653	6631	3668	1812916
394	1444	5577	3038	1676700
395	1203	4638	2510	1534719
396	980	3921	2068	1390293
397	883	3422	1613	1246174
398	709	2798	1332	1104230
399	615	2153	1090	967251
400	492	1714	834	835553
401	444	1436	588	713718
402	349	1102	415	600922
403	273	820	357	499423
404	190	658	254	410303
405	171	486	166	332573
406	138	371	121	267158
407	93	286	89	212069
408	61	187	57	166931
409	63	135	48	130189
410	41	109	40	100380
411	30	64	23	76595
412	20	42	13	57909
413	16	37	9	43768
414	16	35	9	32955
415	11	12	4	24883
416	4	14	2	18803
417	3	10	0	14277
418	3	4	0	10979
419	2	2	0	8657
420	2	4	1	7057
421	2	4	0	5849
422	1	0	0	4993
423	0	1	0	4353
424	1	1	0	3873
425	0	0	0	3507
426	0	0	0	3258
427	0	0	0	3066
428	0	0	0	2904
429	0	0	0	2762
430	0	0	0	2648
431	0	0	0	2531
432	0	0	0	2438
433	0	0	0	2353
434	0	0	0	2274
435	0	0	0	2204
436	0	0	0	2129
437	0	0	0	2049
438	0	0	0	1984
439	0	0	0	1927
440	0	0	0	1862
441	0	0	0	1794
442	0	0	0	1725
443	0	0	0	1648
444	0	0	0	1573
445	0	0	0	1480
446	0	0	0	1402
447	0	0	0	1333
448	0	0	0	1255
449	0	0	0	1170
450	0	0	0	1094
451	0	0	0	1016
452	0	0	0	941
453	0	0	0	863
454	0	0	0	787
455	0	0	0	707
456	0	0	0	636
457	0	0	0	570
458	0	0	0	520
459	0	0	0	481
460	0	0	0	423
461	0	0	0	390
462	0	0	0	353
463	0	0	0	321
464	0	0	0	295
465	0	0	0	266
466	0	0	0	241
467	0	0	0	226
468	0	0	0	213
469	0	0	0	199
470	0	0	0	183
471	0	0	0	172
472	0	0	0	163
473	0	0	0	154
474	0	0	0	142
475	0	0	0	136
476	0	0	0	129
477	0	0	0	127
478	0	0	0	117
479	0	0	0	112
480	0	0	0	107
481	0	0	0	104
482	0	0	0	100
483	0	0	0	94
484	0	0	0	92
485	0	0	0	91
486	0	0	0	87
487	0	0	0	84
488	0	0	0	84
489	0	0	0	79
490	0	0	0	76
491	0	0	0	72
492	0	0	0	66
493	0	0	0	63
494	0	0	0	61
495	0	0	0	57
496	0	0	0	55
497	0	0	0	53
498	0	0	0	49
499	0	0	0	48
500	0	0	0	46
501	0	0	0	44
502	0	0	0	41
503	0	0	0	36
504	0	0	0	34
505	0	0	0	31
506	0	0	0	31
507	0	0	0	31
508	0	0	0	28
509	0	0	0	28
510	0	0	0	26
511	0	0	0	26
512	0	0	0	26
513	0	0	0	23
514	0	0	0	23
515	0	0	0	21
516	0	0	0	20
517	0	0	0	19
518	0	0	0	18
519	0	0	0	18
520	0	0	0	16
521	0	0	0	16
522	0	0	0	15
523	0	0	0	14
524	0	0	0	14
525	0	0	0	14
526	0	0	0	12
527	0	0	0	11
528	0	0	0	10
529	0	0	0	10
530	0	0	0	10
531	0	0	0	10
532	0	0	0	10
533	0	0	0	8
534	0	0	0	8
535	0	0	0	8
536	0	0	0	7
537	0	0	0	7
538	0	0	0	7
539	0	0	0	7
540	0	0	0	7
541	0	0	0	7
542	0	0	0	6
543	0	0	0	6
544	0	0	0	6
545	0	0	0	5
546	0	0	0	5
547	0	0	0	4
548	0	0	0	4
549	0	0	0	4
550	0	0	0	3
551	0	0	0	3
552	0	0	0	3
553	0	0	0	2
554	0	0	0	2
555	0	0	0	2
556	0	0	0	2
557	0	0	0	2
558	0	0	0	2
559	0	0	0	1
560	0	0	0	1
561	0	0	0	1
562	0	0	0	1
563	0	0	0	1
564	0	0	0	1
